mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-559.1266,112.22017,-6.039307,1.8053658,2.784782,10.721326,-13.111733,-7.947127,-1.7388101,-7.5639358,-18.855057,-10.7113285,8.796135,-7.6147447,-9.229568,0.7282001,-3.5034978,-3.9166753,-2.9404302,-1.5306675,-4.975337,-7.7891693,-3.7501965,-7.562871,-6.99982,-3.213035,-7.018247,-4.967834,-7.941693,-4.217793,-2.8061838,-11.069384,-1.8190793,-2.5333662,-7.012918,0.37546906,0.30905616,0.1963484,-0.59793514,-0.90943074,calm
-571.9876,106.68827,-18.141506,3.5671651,8.095666,12.172393,-22.231297,-11.796448,-1.7551165,-3.374824,-11.004981,-5.5076385,-6.5178437,-3.8149486,-6.3282313,-2.5437346,2.4045215,-8.0116625,-3.8704195,-0.9936054,-1.7762381,-6.01699,-7.432277,-0.56969583,-1.5471536,-8.770268,-5.004077,-5.9765205,-0.84314054,-4.007534,-8.379393,0.34866843,-4.8109035,-5.1393285,-1.1636934,-3.1893544,-3.6964703,-0.09520559,-2.1175642,-2.2973845,happy
-471.76514,48.376446,-30.038483,1.8097808,-16.935637,-0.79797715,-20.684454,-6.5958,-5.8399687,-15.985776,-18.260136,-1.6247182,-2.1402292,-11.665211,-13.225771,-2.7146158,-9.90957,-2.2852988,-4.2033396,-8.3115425,1.4284908,6.6344624,5.8097477,12.804651,12.469501,12.624258,7.285089,0.79648983,-1.7009971,-6.855331,-5.8221693,4.5417027,2.795839,-1.5587003,-6.042942,-4.2084904,2.4567232,2.76328,4.6640754,-1.4090748,happy
-547.19055,51.665348,-22.152992,5.2271676,-11.6119585,-4.2843757,-18.467737,-5.1442094,-7.4035425,-6.9810247,-6.455774,-4.2171965,-8.963218,-0.45261353,-6.144162,-6.54213,1.0442644,0.5270851,-5.4348316,-2.6476016,2.68844,4.2279873,7.8957496,11.123315,14.903009,11.935478,5.6006346,3.1958308,-2.7069974,-3.0274184,-1.8689268,1.631265,0.66647565,-1.6215237,-3.3885605,-4.094983,-1.7084379,0.628217,0.7147341,-1.5685283,happy
-468.94254,49.81827,-27.530602,4.014715,-14.311818,0.9300311,-16.682861,-10.134521,-7.944855,-11.659015,-15.706538,-5.252206,-2.7619991,-13.594441,-12.086124,-4.814404,-10.2887945,-5.607132,-7.2840347,-9.765024,0.96425706,6.754436,7.370082,7.8865824,11.082275,10.281005,5.122183,-0.0047386554,-1.9500962,-3.457307,-5.9349365,1.8662908,2.0786285,0.37576577,-1.5098985,-5.288649,-1.6466441,1.1138206,3.478833,1.6107196,fearful
-566.8677,102.82139,-1.3411213,17.643442,-0.32076204,8.348759,-4.3172197,9.354776,-4.112944,-13.521882,-8.447823,-2.0268335,5.6662025,-7.931053,-1.1685369,5.4797106,-2.9589205,-5.1428742,0.8063366,-0.11000552,-4.683696,-2.6495674,-3.430185,-5.1900644,-4.953099,-2.1936924,-2.9692595,-5.6603913,-1.183323,-2.613302,-1.6854646,1.8468888,-4.781349,-2.3663738,-4.097108,-5.481682,-2.058391,-6.318571,-2.716287,-0.37822518,neutral
-589.47327,96.90903,-8.202564,10.440165,1.940463,21.769472,-6.906131,-0.5194024,-1.8575575,-6.0155544,-4.5575047,-5.6146326,7.1297765,1.1423906,-0.8925397,3.2312083,-3.0949872,-2.5478036,3.5937073,-2.8739882,-7.3310266,-3.8499534,-1.6290605,-0.49791372,-2.8006732,-4.8388033,-0.51600987,-2.8495817,-5.4021306,-2.4670565,-1.7928705,-2.7289097,-4.870898,-0.51071674,-0.011154411,-3.4595804,1.8824242,1.135324,-0.20173648,0.13862397,happy
-579.06683,95.020424,8.248976,17.169172,-2.8635848,9.879874,-5.778066,-0.5841835,-5.926524,-4.6503367,-8.404926,-9.481523,0.32164636,-1.0909784,-3.3439975,-0.8298421,-4.0409536,-5.1070313,1.9435802,-2.2639716,-7.4553595,-5.2005587,-1.4983675,-4.9989214,-6.504758,-4.2375546,-4.915415,-2.7192056,-7.650592,-3.7503684,-4.846271,-2.4145231,-3.696959,-5.210901,-1.4182885,-5.2143884,-3.0289476,-0.44341615,-2.4216077,-0.5840802,sad
-446.546,47.478813,-27.810396,3.3594146,-7.9501348,-3.4514506,-16.063026,2.462381,-9.96334,-13.420256,-4.7453666,-5.4077783,-7.0674496,-4.889183,-7.3691216,-1.5899177,0.8712217,-1.3779987,-2.9610791,-0.7657155,0.6933628,1.4844527,7.9917617,7.482014,8.895386,8.219564,3.969148,0.65049636,-3.2249763,-1.969602,-1.3313338,2.0876667,1.8738148,0.009819188,-1.1742789,-3.678708,-2.8251808,1.1231831,1.6119981,0.89504904,fearful
-600.1197,62.190243,-25.90614,1.4179192,-12.248631,-2.520305,-21.281258,-5.228148,-11.307743,-21.821722,-9.98566,-3.7125368,-11.253158,-6.299919,-6.241298,-12.509013,-3.4358513,-0.39613035,-7.317138,-5.86827,1.4520457,2.6818955,2.7843475,10.257118,12.791003,14.986524,11.662925,5.603679,0.61231536,-6.13002,-2.7237911,1.0764977,3.589392,4.542959,-3.0928018,-4.366099,-1.749821,1.6836804,5.075718,1.4724162,calm
